"Run","RunId","ParameterHash","Status","KslLevel","KtpLevel","NetProfit","ROI","ProfitFactor","TotalTrades","WinningTrades","LosingTrades","MaxBalanceDrawdownPct","MaxEquityDrawdownPct","ArtifactDir"
"56","run_0056","5DF6EABD5BDC397B006EB69B62093A7BA83EFD71EA605155630100881CE57265","success","Fib1000","Fib1000","-1079.89","-10.8","0.76","86","39","47","17.246848028784438","18.20944929280779","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0056"
"57","run_0057","1EE7334BE79483669D388BA26C5E65469B35AAFBF92BEBA2486FFB18B7A58538","success","Fib1000","Fib1272","-1087.66","-10.88","0.78","85","34","51","17.049578196735084","18.013520370582594","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0057"
"58","run_0058","FF09F943B67D39013ADC04C6C5FF0D3B4B014A5E748284219DF188173E3A30D5","success","Fib1000","Fib1618","-1311.45","-13.11","0.75","85","29","56","20.23624740460258","21.171781244642546","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0058"
"59","run_0059","A3434ABF6F4818309CE4205F15F752F8DFC271BE3212157978C546961C27BAAB","success","Fib1000","Fib2000","-1278.47","-12.78","0.77","85","26","59","19.740749146097013","21.062371377475912","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0059"
"60","run_0060","B6D1B86EDD785A9FDDF0014414B64408DEDD9A05F9AE11D14529BEDA4B24661E","success","Fib1000","Fib2618","-1212.25","-12.12","0.78","85","23","62","17.696924156886823","20.19235217914318","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0060"
"61","run_0061","5145A11C63FD26E749447247F5D76DF020397C5A62AFE9081BE16CE01BA963B2","success","Fib1272","Fib0236","-229.58","-2.3","0.85","85","70","15","4.547400000000016","5.269119444521887","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0061"
"62","run_0062","2ECE642709B586E7774BB5230C2CC56EA52A6BA49EDA75D3D458FFB6AF61CC3F","success","Fib1272","Fib0382","-585.79","-5.86","0.75","85","61","24","8.379299999999985","9.324781491512626","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0062"
"63","run_0063","52FD7D93444A1D9D37204C675689E2C59A45D1A721C3CA638D95DD4C38554CB2","success","Fib1272","Fib0500","-367.25","-3.67","0.86","85","59","26","6.043832082832538","7.45834846121051","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0063"
"64","run_0064","36E1DDA3730BCC46F8176BF97181C0F15B7D2E1A9A38ADEB6D66BD0399AEC7F5","success","Fib1272","Fib0618","-345.43","-3.45","0.88","84","55","29","6.3809971104017995","7.696343184308136","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0064"
"65","run_0065","D185CCD0F53C9DC6587589202D8978A571687E001E9286809F39B40B7D3D2D98","success","Fib1272","Fib0786","-277.01","-2.77","0.91","84","51","33","8.568109005364738","10.034789551728037","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0065"
"66","run_0066","C03796AEE43BE20B6CCAC524B44E639902A64CDE6F78C08D32AD1E561C41BB91","success","Fib1272","Fib1000","-513.91","-5.14","0.86","84","45","39","11.876009902604624","12.772417846123723","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0066"
"67","run_0067","5CBEE7894CF33C351C9F9DED1B2E5CB4ED4C3E35135E32E1D3F73979D84D97B0","success","Fib1272","Fib1272","-554.89","-5.55","0.86","82","39","43","11.996064546156116","12.792923606049042","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0067"
"68","run_0068","6036A0327EB4A344103DE781561F98711451D939955900638DAA343910B946DD","success","Fib1272","Fib1618","-888.56","-8.89","0.8","82","33","49","16.19005226524956","17.273681091322914","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0068"
"69","run_0069","E1EC4745F28E7473E6BB900553C1F72417EA7BADE4CD32A737F7854CE9356830","success","Fib1272","Fib2000","-703.95","-7.04","0.85","81","30","51","15.640539877679663","16.628691567231154","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0069"
"70","run_0070","50CCCFCF446D51C0DEE79B5A592C1DFF6248CB0F79AEE39FEBF9C835EF923151","success","Fib1272","Fib2618","-288.84","-2.89","0.94","80","28","52","10.01437579541268","11.981335275627991","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0070"
"71","run_0071","DD684CBD6BC0903250F8980BC0AF7ACF3F9C1B82D411BE81E5C70D1B31285F7E","success","Fib1618","Fib0236","20.98","0.21","1.02","85","74","11","2.1073999999999615","3.1055987457371517","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0071"
"72","run_0072","53F24C97D1A31E0D010578D6D960E2CFE7B642325B5B66834AC4FC2ED44599C8","success","Fib1618","Fib0382","-400.85","-4.01","0.79","85","65","20","6.242600000000021","6.7890862259071385","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0072"
"73","run_0073","0C20FA80099B0CAF3FFCFEAA5105768EFB305E6A733376B8403E730EF512180B","success","Fib1618","Fib0500","-131.64","-1.32","0.93","85","64","21","4.473400000000038","5.177920841474308","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0073"
"74","run_0074","29F9DAC9E60228D9B72F8E9C5C6E543B10358379AB90F57248A7E0E7BBC5014F","success","Fib1618","Fib0618","76.06","0.76","1.04","84","61","23","3.4695487220446948","4.62076533935276","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0074"
"75","run_0075","3E622EC9399646F544ADA26799514B2C4EC36191D8E32773036CA2F74DA311A2","success","Fib1618","Fib0786","190.48","1.9","1.08","84","57","27","6.741517070454416","7.867077877503226","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0075"
"76","run_0076","117B172C0C9D347C001F95DEB8AAA08C469C4D2C3ACC346337A13E976852AE9F","success","Fib1618","Fib1000","105.25","1.05","1.04","84","52","32","6.369434974443388","7.421187050714403","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0076"
"77","run_0077","A98C3FBD81E2FD9D68020FCDF7326BB1C7D1B4C939DAC38DC22BF6AFBF8A3F08","success","Fib1618","Fib1272","-23.45","-0.23","0.99","82","45","37","7.2778397476240695","7.941271694447972","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0077"
"78","run_0078","E96A784953DE5A5306134E7949911BF79B873DE86E5B59E58B33DC42C92557D2","success","Fib1618","Fib1618","-473.91","-4.74","0.88","82","38","44","13.16637957687375","14.086614280673723","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0078"
"79","run_0079","B86015FE31598108E68F9D3FF4ABFA70ABB2050720C746E13B4257B5271A77AA","success","Fib1618","Fib2000","-213.39","-2.13","0.95","81","35","46","11.890948843749971","12.711826661838371","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0079"
"80","run_0080","E85357BA639AABB9660529247895E9B09CB0E9FF70AD570997CD77667DCAB770","success","Fib1618","Fib2618","169.96","1.7","1.04","80","32","48","7.361779794790866","7.943172712847021","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0080"
"81","run_0081","B0E76165E8EA614C852250327D0C3C4E0E72274FFD186BDD56A6AB0C03E98116","success","Fib2000","Fib0236","205.74","2.06","1.29","85","76","9","1.6343000000000028","2.4800034364021073","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0081"
"82","run_0082","A64439A52D341097D67BF88ABB825093FE260052ABB05CB4F98A2FFE7ADC31C4","success","Fib2000","Fib0382","-117.09","-1.17","0.91","83","66","17","4.041300000000046","4.486653581258363","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0082"
"83","run_0083","F6942E5D4911688180E2E7BAE6ED9FBFD67AAC5A713AAE880662143803161B4D","success","Fib2000","Fib0500","119.7","1.2","1.08","83","65","18","3.8123000000000324","4.670517470410052","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0083"
"84","run_0084","3594F9861B9B8AAF8CA00943E2BE2540388D4F7D47F23E741650173450477445","success","Fib2000","Fib0618","299.78","3","1.2","82","62","20","3.325607104801434","4.2487375931599365","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0084"
"85","run_0085","ED70C8DB3E6BA248B2955D04FBCECF1EAF3D4251A3489E46B046C8D24979DAF1","success","Fib2000","Fib0786","290.93","2.91","1.16","82","57","25","6.3728197225273915","7.27718238155848","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0085"
"86","run_0086","735B587D01748F3FCB5F60F576D21DFCF1A0BEC1279459D97B2F26ACA6AF7BE7","success","Fib2000","Fib1000","172.26","1.72","1.08","82","52","30","6.049057050273112","7.1618905239469965","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0086"
"87","run_0087","A4CEE5B5D6EC7EEFC4B244C2664E1A99003BEB84153B6FAEFDEEB0D1BB97E1A9","success","Fib2000","Fib1272","10.01","0.1","1","80","45","35","5.958886750461396","6.624319955264289","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0087"
"88","run_0088","57C22FBEFC21EEC672031E7E6F6131F7A534CE81569C341E25E91FB43788534A","success","Fib2000","Fib1618","-333.97","-3.34","0.89","79","38","41","10.2696601991946","11.263315280983162","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0088"
"89","run_0089","1F2A3A70A397F7C098C130CC3EF8B6E418770943F2CD4E9BEFC06B59223FD01B","success","Fib2000","Fib2000","-111.67","-1.12","0.97","78","35","43","9.069391745800392","9.907260668529725","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0089"
"90","run_0090","6E408B71A39D09848D27CE1BCF836692CA448A796D36D6B5F011EA12633ACD03","success","Fib2000","Fib2618","169.2","1.69","1.05","77","32","45","5.450503638848851","6.314466396951966","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0090"
"91","run_0091","FAA8E38DA4B1234FFC2EE765A87C478194A3311FBA72531BE1D964F07DC54C44","success","Fib2618","Fib0236","171.9","1.72","1.36","84","75","9","1.259300000000003","1.9290400952632163","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0091"
"92","run_0092","4DAB86DD3357EE246064C46628EC47520D981D5C32296886460779F85FBE7AAC","success","Fib2618","Fib0382","-36.96","-0.37","0.96","81","65","16","3.401899999999969","3.7655343001336217","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0092"
"93","run_0093","9F73ACCB07B13B093C5BCBA938C62C6A0A03DC29964041BB1F72DCB422CEED3A","success","Fib2618","Fib0500","124.5","1.25","1.12","81","64","17","3.3717999999999666","4.049839892830274","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0093"
"94","run_0094","897CC66F08C0860BF689201293B7EED5D2BCB213EBED90976A6509D0ED54F7B0","success","Fib2618","Fib0618","195.81","1.96","1.18","78","59","19","3.114365195503094","3.8318946656589326","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0094"
"95","run_0095","F8400417541DE9C9D24C70C07C047FDC298FB8EF82C909815A4F3578FFCEBDBE","success","Fib2618","Fib0786","407.67","4.08","1.34","78","56","22","3.440062241905534","4.15515931536844","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0095"
"96","run_0096","30E43E9D68A884C01E25F4DA3D602987B7BB7E714FA74AB3AA1642BEF740634A","success","Fib2618","Fib1000","113.13","1.13","1.07","78","50","28","4.257966888010618","4.968108673350578","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0096"
"97","run_0097","FFAD64ABEB4C5D92512DA033E125FBEB55E3D4C4E4803EF05E2B373AD7D0049F","success","Fib2618","Fib1272","-2.52","-0.03","1","77","44","33","4.53147530473975","5.055785662906751","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0097"
"98","run_0098","184A8520F781D2AECED3073DCA65EC84AF5A8D36F6DFA1DAA0C55548E7F490DB","success","Fib2618","Fib1618","-275.14","-2.75","0.89","76","37","39","8.528184613742244","9.29500617068894","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0098"
"99","run_0099","6D1E07E91201CBCD532098BDB8E6D836161C38F7CE4B0C0C42878922554C9111","success","Fib2618","Fib2000","-150.77","-1.51","0.94","75","34","41","8.029441416464575","8.664816588360246","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0099"
"100","run_0100","B338BEA9A12360205C5917334F517010FD47371986FCEEEDA563E1180B871F99","success","Fib2618","Fib2618","-110.07","-1.1","0.96","75","31","44","5.750895730855706","6.564457561016164","C:\Users\Administrator\Documents\cAlgo\Sources\Robots\research\experiments\Combo_US30_h4_2025_KSL-KTP_20260902-052051\artifacts\run_0100"
